%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83009.494,300.014,348.429,110.107,-0.017,-0.007,5.000
83005.462,300.009,348.429,110.107,0.016,0.004,5.000
83009.494,300.012,348.508,109.946,-0.017,0.004,5.000
83013.525,300.012,348.508,109.946,-0.017,0.015,5.000
83009.494,300.016,348.508,110.107,-0.001,0.004,5.000
83013.525,300.012,348.666,109.946,-0.001,0.004,5.000
83021.588,300.014,348.587,109.946,0.016,-0.007,5.000
83013.525,300.014,348.508,109.786,-0.033,-0.017,5.000
83017.556,300.014,348.745,109.946,-0.001,0.004,5.000
83009.494,300.014,348.745,109.626,0.016,-0.007,5.000
83013.525,300.014,348.745,109.466,-0.033,0.004,5.000
83013.525,300.016,348.745,109.466,-0.001,-0.007,5.000
83021.588,300.016,348.666,109.306,0.016,0.004,5.000
83021.588,300.014,348.666,109.146,-0.017,0.004,5.000
83013.525,300.014,348.666,109.306,-0.017,-0.007,5.000
83021.588,300.016,348.666,109.146,-0.001,-0.007,5.000
83013.525,300.016,348.903,109.146,0.016,-0.007,5.000
83021.588,300.014,348.982,109.146,-0.033,0.004,5.000
83005.462,300.012,348.982,109.146,-0.001,0.015,5.000
83017.556,300.014,348.903,108.826,0.016,0.015,5.000
83017.556,300.014,349.140,108.826,-0.001,0.004,5.000
83021.588,300.011,348.903,108.506,-0.001,-0.007,5.000
83021.588,300.012,349.061,108.506,-0.017,0.015,5.000
83009.494,300.012,349.219,108.345,-0.017,-0.007,5.000
83013.525,300.014,349.061,108.185,0.016,0.004,5.000
83009.494,300.012,349.140,108.506,-0.017,0.004,5.000
83017.556,300.014,349.219,108.345,-0.017,0.004,5.000
83013.525,300.011,349.298,107.865,-0.017,-0.017,5.000
83013.525,300.014,349.377,108.345,0.032,0.015,5.000
83005.462,300.012,349.535,108.025,0.016,0.004,5.000
83013.525,300.012,349.535,107.865,0.016,0.004,5.000
83009.494,300.012,349.614,107.705,-0.017,-0.007,5.000
83005.462,300.012,349.456,108.185,-0.017,0.015,5.000
83005.462,300.011,349.456,107.865,0.016,-0.007,5.000
83005.462,300.012,349.693,107.545,0.016,0.004,5.000
83005.462,300.014,349.693,107.865,-0.017,0.004,5.000
83005.462,300.014,349.693,107.705,0.032,-0.017,5.000
82997.399,300.012,349.930,107.705,0.032,0.004,5.000
83009.494,300.014,349.851,107.705,-0.017,-0.028,5.000
83001.431,300.014,350.089,108.185,-0.017,-0.007,5.000
83009.494,300.016,350.010,107.865,0.016,0.015,5.000
83005.462,300.016,349.930,107.865,0.032,0.004,5.000
83001.431,300.014,349.930,108.185,-0.017,-0.017,5.000
83009.494,300.011,350.089,108.025,-0.017,0.015,5.000
83001.431,300.016,350.010,107.865,0.016,0.004,5.000
83005.462,300.017,350.089,108.185,-0.001,-0.017,5.000
83001.431,300.012,350.168,108.185,-0.017,0.004,5.000
83009.494,300.014,350.168,108.025,-0.017,-0.007,5.000
83005.462,300.012,350.247,108.345,-0.017,0.004,5.000
83005.462,300.017,350.247,108.506,-0.001,-0.017,5.000
83009.494,300.016,350.405,108.506,0.016,-0.007,5.000
83009.494,300.017,350.168,108.666,-0.017,0.004,5.000
83005.462,300.014,350.484,108.185,0.016,0.004,5.000
83009.494,300.014,350.405,108.666,-0.001,0.004,5.000
83013.525,300.014,350.405,108.666,-0.017,-0.007,5.000
83013.525,300.017,350.405,108.666,-0.001,0.004,5.000
83009.494,300.014,350.484,108.826,0.016,0.004,5.000
83009.494,300.012,350.563,108.826,-0.001,-0.028,5.000
83013.525,300.012,350.405,108.666,-0.017,0.004,5.000
83013.525,300.016,350.405,108.986,0.016,-0.007,5.000
83009.494,300.016,350.484,108.986,0.016,-0.007,5.000
83013.525,300.017,350.484,109.146,-0.017,-0.028,5.000
83017.556,300.014,350.642,108.986,-0.001,-0.007,5.000
83013.525,300.016,350.642,109.146,0.016,-0.007,5.000
83017.556,300.014,350.642,109.306,0.032,0.004,5.000
83009.494,300.014,350.563,109.306,-0.017,0.004,5.000
83017.556,300.017,350.642,108.986,-0.001,0.026,5.000
83009.494,300.016,350.642,108.826,-0.017,0.015,5.000
83013.525,300.012,350.563,108.826,-0.017,0.004,5.000
83013.525,300.014,350.721,108.666,0.016,0.004,5.000
83009.494,300.012,350.642,108.506,-0.001,-0.017,5.000
83013.525,300.012,350.642,108.666,0.016,0.004,5.000
83013.525,300.012,350.721,108.506,-0.001,0.015,5.000
83013.525,300.012,350.721,108.345,-0.017,-0.017,5.000
83017.556,300.011,350.721,108.345,-0.017,-0.007,5.000
83005.462,300.012,350.721,108.025,0.016,-0.017,5.000
83009.494,300.014,350.958,108.185,0.016,-0.007,5.000
83013.525,300.012,350.958,107.865,-0.001,0.004,5.000
83009.494,300.012,350.800,107.865,-0.017,0.004,5.000
83017.556,300.009,350.958,107.705,0.016,0.004,5.000
83013.525,300.011,350.879,107.545,-0.001,0.004,5.000
83005.462,300.014,350.879,107.385,0.032,-0.007,5.000
83009.494,300.014,350.879,107.545,-0.001,-0.007,5.000
83009.494,300.012,351.037,107.065,0.032,-0.007,5.000
83001.431,300.014,350.958,106.905,-0.017,-0.007,5.000
83005.462,300.014,350.958,106.745,0.016,-0.017,5.000
83001.431,300.014,351.037,106.905,0.016,0.004,5.000
83005.462,300.016,351.037,106.905,-0.017,-0.007,5.000
83005.462,300.012,351.037,106.264,-0.017,0.004,5.000
82997.399,300.012,350.958,106.264,0.016,0.004,5.000
83001.431,300.012,351.116,105.944,-0.017,-0.007,5.000
83001.431,300.014,351.116,105.464,-0.001,0.004,5.000
82997.399,300.014,351.195,105.784,-0.017,0.004,5.000
83009.494,300.014,351.195,105.944,-0.017,-0.007,5.000
82997.399,300.016,351.116,105.944,-0.001,-0.007,5.000
83009.494,300.016,351.116,105.784,0.016,0.004,5.000
83009.494,300.016,351.037,105.624,0.016,0.015,5.000
83005.462,300.014,351.195,105.304,-0.001,0.004,5.000
83009.494,300.014,351.195,105.304,0.032,-0.017,5.000
83009.494,300.016,351.037,104.984,-0.001,-0.007,5.000
83009.494,300.014,351.037,105.144,-0.017,0.015,5.000
83001.431,300.011,351.116,105.464,-0.001,0.004,5.000
83005.462,300.012,351.037,105.464,0.016,-0.007,5.000
83005.462,300.014,351.116,105.144,-0.001,-0.017,5.000
83017.556,300.014,350.958,105.304,-0.017,0.004,5.000
83017.556,300.016,351.037,105.304,-0.017,0.004,5.000
83013.525,300.014,351.037,105.144,-0.001,0.004,5.000
83005.462,300.014,351.195,105.784,0.016,0.004,5.000
83005.462,300.014,351.116,105.464,0.016,0.004,5.000
83009.494,300.014,351.037,105.624,0.016,-0.007,5.000
83017.556,300.011,351.037,105.944,-0.001,0.004,5.000
83013.525,300.009,351.037,105.624,-0.001,0.004,5.000
83017.556,300.014,351.037,105.784,0.016,-0.007,5.000
83017.556,300.014,351.037,105.784,0.016,-0.017,5.000
83013.525,300.011,351.037,106.104,-0.017,0.004,5.000
83009.494,300.014,351.116,106.424,-0.001,-0.007,5.000
83013.525,300.014,351.037,106.424,-0.017,-0.017,5.000
83005.462,300.011,350.958,106.584,0.032,-0.007,5.000
83005.462,300.012,351.037,106.424,-0.001,-0.007,5.000
83005.462,300.008,351.195,106.584,0.016,-0.007,5.000
83005.462,300.011,351.116,106.424,-0.001,0.004,5.000
83001.431,300.011,351.195,106.905,-0.001,-0.017,5.000
83005.462,300.011,351.195,106.905,0.016,-0.007,5.000
83005.462,300.012,351.195,106.905,-0.001,-0.007,5.000
83005.462,300.011,351.274,106.905,0.016,-0.007,5.000
82997.399,300.012,351.274,107.225,-0.001,-0.007,5.000
